import time: self [us] | cumulative | imported package
import time:      2228 |       2228 |               numpy.ma.core
import time:       893 |        893 |               numpy.ma.extras
import time:       281 |       3401 |             numpy.ma
import time:       305 |        305 |               pandas.core.col
import time:       372 |        677 |             pandas.core.common
import time:      3407 |       7484 |           pandas.core.construction
import time:      5834 |      13425 |         pandas.core.array_algos.take
import time:       326 |        326 |           pandas.core.indexers.utils
import time:       230 |        556 |         pandas.core.indexers
import time:       551 |      16342 |       pandas.core.algorithms
import time:       341 |        341 |           pandas.core.arrays.arrow.accessors
import time:      1262 |       1262 |             unicodedata
import time:       412 |        412 |             pandas.core.missing
import time:      2072 |       2072 |                 pandas._libs.ops
import time:        92 |         92 |                 pandas.core.roperator
import time:        79 |         79 |                 pandas.core.computation
import time:       135 |        135 |                   pandas.core.computation.check
import time:       284 |        418 |                 pandas.core.computation.expressions
import time:       212 |        212 |                 pandas.core.ops.missing
import time:        77 |         77 |                 pandas.core.ops.dispatch
import time:        78 |         78 |                 pandas.core.ops.invalid
import time:       371 |       3394 |               pandas.core.ops.array_ops
import time:       143 |        143 |               pandas.core.ops.common
import time:       918 |        918 |               pandas.core.ops.docstrings
import time:       116 |        116 |               pandas.core.ops.mask_ops
import time:       125 |       4694 |             pandas.core.ops
import time:       408 |        408 |             pandas.core.arraylike
import time:       179 |        179 |             pandas.core.arrays._arrow_string_mixins
import time:       195 |        195 |             pandas.core.arrays._utils
import time:       249 |        249 |                 pandas.util._validators
import time:       343 |        591 |               pandas.compat.numpy.function
import time:       106 |        106 |               pandas.core.array_algos.quantile
import time:       228 |        228 |               pandas.core.sorting
import time:       582 |       1505 |             pandas.core.arrays.base
import time:       702 |        702 |               pandas.core.nanops
import time:       248 |        248 |               pandas.core.array_algos.masked_accumulations
import time:       101 |        101 |               pandas.core.array_algos.masked_reductions
import time:       178 |        178 |               pandas.core.array_algos.transforms
import time:       645 |        645 |                 pandas.core.util
import time:      2045 |       2045 |                 pandas._libs.hashing
import time:       333 |       3022 |               pandas.core.util.hashing
import time:       539 |       4787 |             pandas.core.arrays.masked
import time:      2112 |       2112 |               pandas._libs.arrays
import time:       282 |        282 |                 pandas.core.arrays.numeric
import time:       291 |        572 |               pandas.core.arrays.floating
import time:       311 |        311 |               pandas.core.arrays.integer
import time:       488 |        488 |                 pandas.core.arrays._mixins
import time:        93 |         93 |                   pandas.core.strings
import time:       422 |        515 |                 pandas.core.strings.object_array
import time:       386 |       1387 |               pandas.core.arrays.numpy_
import time:        88 |         88 |               pandas.io.formats
import time:       263 |        263 |                       _compression
import time:      1243 |       1243 |                       _bz2
import time:       274 |       1779 |                     bz2
import time:      1442 |       1442 |                       _lzma
import time:       308 |       1750 |                     lzma
import time:       655 |       4184 |                   shutil
import time:       571 |       4754 |                 pandas.io.formats.console
import time:       382 |       5135 |               pandas.io.formats.printing
import time:       344 |       9947 |             pandas.core.arrays.string_
import time:       104 |        104 |               pandas.tseries
import time:       431 |        535 |             pandas.tseries.frequencies
import time:      1045 |      24965 |           pandas.core.arrays.arrow.array
import time:       151 |      25456 |         pandas.core.arrays.arrow
import time:       186 |        186 |         pandas.core.arrays.boolean
import time:      1622 |       1622 |             _csv
import time:       461 |       2082 |           csv
import time:      2950 |       2950 |           pandas.core.accessor
import time:       491 |        491 |           pandas.core.base
import time:       878 |       6400 |         pandas.core.arrays.categorical
import time:      1898 |       1898 |           pandas._libs.tslib
import time:       135 |        135 |             pandas.core.array_algos.datetimelike_accumulations
import time:       845 |        979 |           pandas.core.arrays.datetimelike
import time:       260 |        260 |           pandas.core.arrays._ranges
import time:       104 |        104 |           pandas.tseries.offsets
import time:       623 |       3863 |         pandas.core.arrays.datetimes
import time:       527 |        527 |           pandas.core.arrays.timedeltas
import time:       734 |       1261 |         pandas.core.arrays.interval
import time:       548 |        548 |         pandas.core.arrays.period
import time:      3154 |       3154 |               pandas._libs.sparse
import time:       547 |       3700 |             pandas.core.arrays.sparse.array
import time:       377 |       4077 |           pandas.core.arrays.sparse.accessor
import time:       104 |       4181 |         pandas.core.arrays.sparse
import time:       438 |        438 |         pandas.core.arrays.string_arrow
import time:       151 |      42480 |       pandas.core.arrays
import time:       248 |        248 |       pandas.core.flags
import time:       300 |        300 |             copy
import time:       652 |        951 |           dataclasses
import time:      2547 |       2547 |             pandas._libs.internals
import time:       220 |        220 |               pandas.core._numba
import time:       213 |        213 |               pandas.core.util.numba_
import time:       307 |        739 |             pandas.core._numba.executor
import time:       701 |       3987 |           pandas.core.apply
import time:       315 |        315 |             pandas.errors.cow
import time:      1535 |       1535 |                     _json
import time:       830 |       2364 |                   json.scanner
import time:       372 |       2735 |                 json.decoder
import time:       262 |        262 |                 json.encoder
import time:       327 |       3324 |               json
import time:      1597 |       1597 |                 pandas._libs.indexing
import time:       203 |        203 |                   pandas.core.indexes
import time:      3738 |       3738 |                     pandas._libs.index
import time:      2044 |       2044 |                     pandas._libs.writers
import time:      2401 |       2401 |                     pandas._libs.join
import time:       279 |        279 |                     pandas.core.array_algos.putmask
import time:       283 |        283 |                     pandas.core.indexes.frozen
import time:      1117 |       1117 |                     pandas.core.strings.accessor
import time:      1199 |      11058 |                   pandas.core.indexes.base
import time:       187 |        187 |                     pandas.core.indexes.extension
import time:       487 |        674 |                   pandas.core.indexes.category
import time:       543 |        543 |                       pandas.core.indexes.range
import time:       235 |        235 |                         pandas.core.tools
import time:       327 |        561 |                       pandas.core.tools.timedeltas
import time:       414 |       1516 |                     pandas.core.indexes.datetimelike
import time:       100 |        100 |                     pandas.core.tools.times
import time:       616 |       2232 |                   pandas.core.indexes.datetimes
import time:       802 |        802 |                     pandas.core.indexes.multi
import time:       397 |        397 |                     pandas.core.indexes.timedeltas
import time:       492 |       1690 |                   pandas.core.indexes.interval
import time:       571 |        571 |                   pandas.core.indexes.period
import time:       884 |      17308 |                 pandas.core.indexes.api
import time:      1139 |      20044 |               pandas.core.indexing
import time:       108 |        108 |               pandas.core.sample
import time:       241 |        241 |               pandas.core.array_algos.replace
import time:       953 |        953 |                   pandas.core.internals.blocks
import time:       289 |       1241 |                 pandas.core.internals.api
import time:       425 |        425 |                     pandas.core.internals.ops
import time:       717 |       1142 |                   pandas.core.internals.managers
import time:       394 |       1535 |                 pandas.core.internals.concat
import time:       199 |       2974 |               pandas.core.internals
import time:       238 |        238 |                 pandas.core.methods
import time:       172 |        172 |                   pandas.core.reshape
import time:       357 |        529 |                 pandas.core.reshape.concat
import time:       477 |        477 |                     gzip
import time:      5081 |       5081 |                     mmap
import time:        32 |         32 |                       pwd
import time:      1698 |       1698 |                       grp
import time:      1557 |       3286 |                     tarfile
import time:       202 |        202 |                         zipfile._path.glob
import time:       409 |        611 |                       zipfile._path
import time:       787 |       1398 |                     zipfile
import time:      1138 |      11378 |                   pandas.io.common
import time:       699 |      12077 |                 pandas.io.formats.format
import time:       346 |      13189 |               pandas.core.methods.describe
import time:       276 |        276 |               pandas.core.shared_docs
import time:       240 |        240 |                     pandas._libs.window
import time:      3541 |       3780 |                   pandas._libs.window.aggregations
import time:      2479 |       2479 |                     pandas._libs.window.indexers
import time:       385 |       2863 |                   pandas.core.indexers.objects
import time:       272 |        272 |                   pandas.core.window.common
import time:       242 |        242 |                   pandas.core.window.numba_
import time:       219 |        219 |                   pandas.core.window.online
import time:       729 |        729 |                   pandas.core.window.rolling
import time:       538 |       8639 |                 pandas.core.window.ewm
import time:       344 |        344 |                 pandas.core.window.expanding
import time:       199 |       9182 |               pandas.core.window
import time:      1620 |      50952 |             pandas.core.generic
import time:       399 |        399 |             pandas.core.internals.construction
import time:       304 |        304 |             pandas.core.methods.selectn
import time:       230 |        230 |               pandas.core.tools.numeric
import time:       288 |        517 |             pandas.core.reshape.melt
import time:      2600 |       2600 |               pandas._libs.reshape
import time:       643 |        643 |               pandas.core.indexes.accessors
import time:       222 |        222 |                 pandas.arrays
import time:       562 |        783 |               pandas.core.tools.datetimes
import time:       668 |        668 |               pandas.io.formats.info
import time:      1140 |       1140 |                 pandas.plotting._core
import time:       339 |        339 |                 pandas.plotting._misc
import time:       263 |       1741 |               pandas.plotting
import time:      2381 |       8815 |             pandas.core.series
import time:      4258 |      65557 |           pandas.core.frame
import time:       686 |        686 |           pandas.core.groupby.base
import time:      4317 |       4317 |             pandas._libs.groupby
import time:       307 |        307 |             pandas.core.groupby.numba_
import time:        95 |         95 |                 pandas.core.groupby.categorical
import time:       404 |        499 |               pandas.core.groupby.grouper
import time:       601 |       1100 |             pandas.core.groupby.ops
import time:       334 |        334 |             pandas.core.groupby.indexing
import time:      1480 |       7536 |           pandas.core.groupby.groupby
import time:      1120 |      79834 |         pandas.core.groupby.generic
import time:       223 |      80056 |       pandas.core.groupby
import time:      2685 |     177184 |     pandas.core.api
import time:       112 |        112 |     pandas.tseries.api
import time:        87 |         87 |             pandas.core.computation.common
import time:       238 |        325 |           pandas.core.computation.align
import time:       564 |        564 |               pprint
import time:       282 |        845 |             pandas.core.computation.scope
import time:       379 |       1223 |           pandas.core.computation.ops
import time:       261 |       1809 |         pandas.core.computation.engines
import time:       355 |        355 |           pandas.core.computation.parsing
import time:      1066 |       1421 |         pandas.core.computation.expr
import time:       257 |       3486 |       pandas.core.computation.eval
import time:        92 |       3578 |     pandas.core.computation.api
import time:       302 |        302 |       pandas.core.reshape.encoding
import time:      1856 |       1856 |           _uuid
import time:       457 |       2312 |         uuid
import time:       684 |       2995 |       pandas.core.reshape.merge
import time:       396 |        396 |       pandas.core.reshape.pivot
import time:       224 |        224 |       pandas.core.reshape.tile
import time:       246 |       4162 |     pandas.core.reshape.api
import time:       255 |        255 |       pandas.api.executors
import time:       306 |        306 |       pandas.api.extensions
import time:       163 |        163 |       pandas.api.indexers
import time:       109 |        109 |           pandas.core.interchange
import time:       716 |        825 |         pandas.core.interchange.dataframe_protocol
import time:       238 |        238 |           pandas.core.interchange.utils
import time:       389 |        626 |         pandas.core.interchange.from_dataframe
import time:       650 |       2100 |       pandas.api.interchange
import time:        93 |         93 |         pandas.core.dtypes.api
import time:       106 |        199 |       pandas.api.types
import time:       715 |        715 |         pandas.core.resample
import time:      2212 |       2212 |               pandas._libs.json
import time:       270 |        270 |               pandas.io.json._normalize
import time:       239 |        239 |               pandas.io.json._table_schema
import time:      2793 |       2793 |                     pandas._libs.parsers
import time:       410 |        410 |                       pandas.io.parsers.base_parser
import time:       299 |        708 |                     pandas.io.parsers.arrow_parser_wrapper
import time:       325 |        325 |                     pandas.io.parsers.c_parser_wrapper
import time:       604 |        604 |                     pandas.io.parsers.python_parser
import time:       749 |       5176 |                   pandas.io.parsers.readers
import time:        99 |       5275 |                 pandas.io.parsers
import time:        18 |       5293 |               pandas.io.parsers.readers
import time:       586 |       8598 |             pandas.io.json._json
import time:       122 |       8720 |           pandas.io.json
import time:        15 |       8735 |         pandas.io.json._json
import time:       317 |        317 |             pandas.io.sas.sasreader
import time:       312 |        628 |           pandas.io.sas
import time:        16 |        643 |         pandas.io.sas.sasreader
import time:       988 |        988 |         pandas.io.stata
import time:       119 |      11199 |       pandas.api.typing
import time:       242 |      14461 |     pandas.api
import time:       221 |        221 |         pandas._testing._io
import time:       226 |        226 |         pandas._testing._warnings
import time:      2877 |       2877 |             cmath
import time:      2310 |       5186 |           pandas._libs.testing
import time:       390 |       5576 |         pandas._testing.asserters
import time:       202 |        202 |         pandas._testing.compat
import time:       238 |        238 |         pandas._testing.contexts
import time:       430 |       6888 |       pandas._testing
import time:       217 |       7105 |     pandas.testing
import time:       302 |        302 |     pandas.util._print_versions
import time:       534 |        534 |       pandas.io.clipboards
import time:       274 |        274 |           pandas.io.excel._util
import time:       176 |        176 |           pandas.io.excel._calamine
import time:       260 |        260 |           pandas.io.excel._odfreader
import time:       832 |        832 |           pandas.io.excel._openpyxl
import time:       129 |        129 |           pandas.io.excel._pyxlsb
import time:       180 |        180 |           pandas.io.excel._xlrd
import time:      1022 |       2870 |         pandas.io.excel._base
import time:       278 |        278 |         pandas.io.excel._odswriter
import time:       147 |        147 |         pandas.io.excel._xlsxwriter
import time:       250 |       3545 |       pandas.io.excel
import time:       229 |        229 |       pandas.io.feather_format
import time:       401 |        401 |       pandas.io.html
import time:       319 |        319 |       pandas.io.iceberg
import time:       106 |        106 |       pandas.io.orc
import time:       884 |        884 |       pandas.io.parquet
import time:       186 |        186 |         pandas.compat.pickle_compat
import time:       117 |        302 |       pandas.io.pickle
import time:       864 |        864 |         pandas.core.computation.pytables
import time:      1996 |       2859 |       pandas.io.pytables
import time:       175 |        175 |       pandas.io.spss
import time:       755 |        755 |       pandas.io.sql
import time:       454 |        454 |       pandas.io.xml
import time:       235 |      10792 |     pandas.io.api
import time:        97 |         97 |     pandas.util._tester
import time:        77 |         77 |     pandas._version_meson
import time:       559 |     397813 |   pandas
import time:       214 |        214 |     shiny._version
import time:       664 |        664 |     shiny._shinyenv
import time:      2055 |       2055 |           _socket
import time:      1304 |       3359 |         typing_extensions
import time:        95 |       3453 |       shiny._typing_extensions
import time:       455 |       3907 |     shiny.quarto
import time:       252 |        252 |               concurrent
import time:       743 |        743 |                   traceback
import time:        26 |         26 |                   atexit
import time:      1447 |       2215 |                 logging
import time:       616 |       2830 |               concurrent.futures._base
import time:       188 |       3270 |             concurrent.futures
import time:      1672 |       1672 |               _heapq
import time:       308 |       1979 |             heapq
import time:      1788 |       1788 |               array
import time:       938 |       2726 |             socket
import time:      2690 |       2690 |               _ssl
import time:      1591 |       4281 |             ssl
import time:       319 |        319 |             asyncio.constants
import time:       164 |        164 |             asyncio.coroutines
import time:       134 |        134 |               asyncio.format_helpers
import time:       192 |        192 |                 asyncio.base_futures
import time:       151 |        151 |                 asyncio.exceptions
import time:       217 |        217 |                 asyncio.base_tasks
import time:      1737 |       2295 |               _asyncio
import time:       811 |       3239 |             asyncio.events
import time:       279 |        279 |             asyncio.futures
import time:       254 |        254 |             asyncio.protocols
import time:       293 |        293 |               asyncio.transports
import time:       180 |        180 |               asyncio.log
import time:       492 |        963 |             asyncio.sslproto
import time:       176 |        176 |                 asyncio.mixins
import time:       486 |        661 |               asyncio.locks
import time:       353 |        353 |                 asyncio.timeouts
import time:       391 |        743 |               asyncio.tasks
import time:       274 |       1677 |             asyncio.staggered
import time:       208 |        208 |             asyncio.trsock
